Instruction,Input,Output
How do I Generating Via Ladder Rules for Performance Via Ladders,,"Instead of explicitly defining via ladder rules for electromigration via ladders, you can use the generate_via_ladder_template command to generate via ladder rules and constraints based on a configuration file. The configuration file is an XML file that provides information about the via ladder rules, as well as the association between the via ladder rules and specific pins. You must specify the name of the configuration file by using the -config_file option. The command generates two script files: A script file that defines the via ladder rules, which is called the template script file This script file contains a create_via_rule command for each template defined in the configuration file, as well as set_attribute commands to set the appropriate via rule attributes. By default, the file is named auto_gen_via_ladder_template.tcl. To specify a different file name, use the -template_file option. A script file that defines the via ladder constraints, which is called the association script file This script file contains set_via_ladder_candidate commands for the pins specified in the configuration file, as well as set_attribute commands to set the is_em_via_ladder_required attribute for the pins to true By default, the file is named auto_gen_via_ladder_association.tcl. To specify a different file name, use the -association_file option. The configuration file has the following syntax: <EmRule> <! template definition > <Template name="" rule_name ""> <Layer name="" layer_name "" row_number="" cuts_per_row [max_stagger_tracks="" count ""] [upper_cut_x_min_spacing="" x_spacing ""] [upper_cut_y_min_spacing="" y_spacing ""] />... more layers </Template> … more templates <! Pin to template association > <Pin name="" pin_name ""> <Template name="" rule_name ""/> </Pin>... more associations </EmRule> Each Template section specifies the template for a via ladder rule. You can specify one or more Template sections. Within a template section, you specify the via ladder structure by specifying the number of cuts per row for each metal layer involved in the via ladder. The command uses the information in the configuration file and associated information from the technology file to generate the via ladder rules. The command derives the following information from the technology file The cut layers that connect the specified metal layers The cut names The minimum required length for each metal layer Note: You must open the block before running the generate_via_ladder_template command to ensure that the command has access to the technology data for the block. Each Pin section specifies the template associated with a pin, where the pin name can include the asterisk wildcard character (*). You can specify one or more Pin sections. The template specified in the Pin section's Template attribute must be one of the templates specified in the Template sections. For example, assume you have a configuration file named vl_config that has the following contents: <EmRule> <Template name=""template_1_3231""> <Layer name=""M1"" row_number=""3""/> <Layer name=""M2"" row_number=""2""/> <Layer name=""M3"" row_number=""3""/> <Layer name=""M4"" row_number=""1""/> </Template> <Pin name=""*/BCELLD5A11*/Z""> <Template name=""template_1_3231""/> </Pin> </EmRule> To generate the script files to define the via ladder rules and constraints, use the following command: fc_shell> generate_via_ladder_template -config_file vl_config Example 17 shows the template script file generated by this command. Example 18 shows the association script file generated by this command. Example 17 Template Script File create_via_rule -name template_1_3231 \ -cut_layer_names {VIA1 VIA2 VIA3} -cut_names {V1S V2S V3S} \ -cut_rows {2 3 1} -cuts_per_row {3 2 3} set viaRule [get_via_rules template_1_3231] set_attribute $viaRule upper_metal_min_length_table {0.3 0.2 0.4} set_attribute $viaRule for_electro_migration true Example 18 Association Script File foreach_in_collection pin [get_lib_pins -quiet */BCELLD5A11*/Z] { set_attribute -quiet $pin is_em_via_ladder_required true set_via_ladder_candidate $pin -ladder_name ""template_1_3231"" See Also Defining Via Ladder Rules Specifying Automatic Via Ladder Insertion Settings for Preroute Optimization"
How do I Via Ladder Rule Files,,"Instead of explicitly defining via ladder rules for performance via ladders, you can use the setup_performance_via_ladder command to generate the via ladder rules and associations. By default, this command Generates via ladder rules for all layers up to the M5 layer To specify a different maximum layer, use the -max_layer attribute. The command uses information from the technology file to generate the via ladder rules. The command derives the following information from the technology file: The cut layers that connect the specified metal layers The cut names The minimum required length for each metal layer Note: You must open the block before running the setup_performance_via_ladder command to ensure that the command has access to the technology data for the block. The command outputs an XML file that provides information about the via ladder rules and a script file that defines the via ladder rules. For details about these files, see Via Ladder Rule Files You can also generate these files by using the generate_via_rules_for_performance command. Associates via ladder rules with the pins of all library cells that do not have a dont_use attribute To include the pins of library cells that have a dont_use attribute, use the -dont_use option. To associate via ladder rules only with specific pins, use the -lib_pins option. The command analyzes the information about each library cell pin and its shapes to determine the via ladder rules to associate with that pin and then outputs a script file that defines the associations. For details about this file, see Via Ladder Association File You can also generate this file by using the associate_performance_via_ladder command. Runs the generated script files See Also Defining Via Ladder Rules Specifying Automatic Via Ladder Insertion Settings for Preroute Optimization"
How do I Via Ladder Association File,,"The command generates two via ladder rule files: An XML file that provides information about the via ladder rules The XML file has the following syntax: <EmRule> <! template definition > <Template name="" rule_name "" for_electro_migration=""true"" for_high_performance=""true""> <Layer name="" layer_name "" row_number="" cuts_per_row... more layers </Template> … more templates </EmRule> Each Template section specifies the template for a via ladder rule. Within a template section, the via ladder structure is specified by specifying the number of cuts per row for each metal layer involved in the via ladder. By default, the generated XML file is named auto_perf_via_ladder_rule.xml. To specify a different name, use the -xml_file option. A script file that defines the via ladder rules The script file contains a create_via_rule command for each template defined in the XML file, as well as set_attribute commands to set the appropriate via rule attributes. By default, the generated script file is named auto_perf_via_ladder_rule.tcl. To specify a different file name, use the -rule_file option."
How do I Constraint-Based Via Ladder Insertion,,"The command generates a script file that defines the association between the library cell pins and the via ladder rules. This script file contains set_via_ladder_candidate commands for the library cell pins. By default, the generated script file is named auto_perf_via_ladder_association.tcl. To specify a different file name, use the -association_file option."
How do I Defining Via Ladder Constraints,,"To use the constraint-based method to insert via ladders, 1. Ensure that the via ladder rules are defined, as described in Defining Via Ladder Rules 2. Define the via ladder constraints by using the set_via_ladder_rules command, as described in Defining Via Ladder Constraints 3. Insert the via ladders by using the insert_via_ladders command, as described in Inserting Via Ladders 4. Verify the via ladders by using the verify_via_ladders command, as described in Verifying Via Ladders"
How do I Defining Global Via Ladder Constraints,,"The via ladder constraints define the pins on which to insert via ladders and the via ladder templates that can be used for those pins. You can define both global and instance- specific via ladder constraints; if the constraints conflict, the instance-specific constraints override the global constraints. To define global via ladder constraints, which are referred to as via ladder rules, use the set_via_ladder_rules command, as described in Defining Global Via Ladder Constraints To define instance-specific via ladder constraints, use the set_via_ladder_constraints command, as described in Defining Instance-Specific Via Ladder Constraints In addition, you can specify via ladder candidates for specific pins by using the set_via_ladder_candidate command. This command is used by preroute optimization to insert via ladders on timing-critical paths, as described in Specifying Automatic Via Ladder Insertion Settings for Preroute Optimization To report the via ladder constraints, use the report_via_ladder_constraints command. See Also Inserting Via Ladders"
How do I Defining Instance-Specific Via Ladder Constraints,,"To define global via ladder constraints, which are referred to as via ladder rules, use the set_via_ladder_rules command to set via ladder constraints on library cell pins. You must specify the mapping between library cell pins and via ladder templates, as well as the pins to which to apply the mapping. Use the following options to specify the mapping: -master_pin_map or -master_pin_map_file These options specify the mappings for specific library pins using the following format: { { lib_cell pin via_ladder_list }}...} To specify the mapping on the command line, use the -master_pin_map option. To specify the mapping in an external file, use the -master_pin_map_file option to specify the mapping file name. -default_ladders This option specifies the via ladder templates to use for all library pins not explicitly specified in the mapping. Use the following options to specify the pins to which to apply the mapping: -all_instances_of This option explicitly specifies library cell pins to which to apply the mapping. -all_clock_outputs Set this option to true to apply the mapping to all clock output pins. -all_clock_inputs Set this option to true to apply the mapping to all clock input pins. -all_pins_driving This option applies the mapping to all pins that drive one of the specified ports. To report the via ladder rules, use the report_via_ladder_rules command. To remove via ladder rules, use the remove_via_ladder_rules command."
How do I Inserting Via Ladders,,"To define instance-specific via ladder constraints, use the set_via_ladder_constraints command. You must specify the instance pins and the via ladder templates that can be used for those pins. For example, to enable the use of the VL1, VL2, and VL3 via ladder templates for the u1/i1 and u2/i2 pins, use the following command: fc_shell> set_via_ladder_constraints -pins {u1/i1 u2/i2} \ {VL1 VL2 VL3} To report the via ladder constraints, use the report_via_ladder_constraints command. To remove via ladder constraints, use the remove_via_ladder_constraints command."
How do I Protecting Via Ladders,,"To insert via ladders, use the insert_via_ladders command. By default, this command Does not remove existing via ladders in the block To remove the existing via ladders before via ladder insertion, use the -clean true option. Targets all pins specified in the via ladder constraints, whether on signal nets or clock nets To restrict via ladder insertion to specific nets, use the -nets option. Inserts a single via ladder on each target pin If the constraints specify more than one via ladder template for a pin, the command inserts the via ladder using the first template that does not cause a DRC violation. By default, if all of the via ladder templates cause a DRC violation, the command inserts the via ladder with the lowest DRC cost. To ignore detail routing shapes when checking for DRC violations, use the -ignore_routing_shape_drcs true option. To ignore the line-end cut enclosure rule, use the -relax_line_end_via_enclosure_rule true option. To ignore metal spacing rules on the pin layer when the via ladder shape is fully enclosed within the pin, use the -relax_pin_layer_metal_spacing_rules true option. To prevent the insertion of via ladders that cause DRC violations, use the -allow_drcs false option. Note: If a pin is too small to accommodate any of the via ladders specified for it, the insert_via_ladders command does not insert a via ladder for that pin. Uses via cuts other than those specified in the template if they improve compliance with fat via rules To require the command to use only those via cuts specified in the template, use the -strictly_honor_cut_table true option. Centers the via ladder cuts at the intersection of routing tracks between adjacent layers To shift the via ladder cuts on transition layers off the routing tracks for improved DRC compliance, use the -shift_vias_on_transition_layers true option. Honors nondefault width rules for the wires on all layers of the via ladder To use the default width for wires on lower layers of the via ladder and honor the nondefault width only for the top layer, use the -ndr_on_top_layer_only true option. Does not require the via inserted above the pin layer to be contained within the pin shape To prevent changes to the pin shape boundary, you can require that the via inserted above the pin layer be fully contained within the pin shape boundary, which includes the pin shape and its extensions. To specify this requirement, use one or both of the following options: -connect_within_metal true This option controls via enclosures for all types of via ladders: performance, electromigration, and pattern-must-join. -connect_within_metal_for_via_ladder true This option controls the via enclosures only for performance and electromigration via ladders. By default, the tool uses the global setting specified by the -connect_within_metal option. To explicitly specify the behavior for performance and electromigration via ladders, set this option to true or false Does not extend the via enclosures to meet the minimum length rule for the layer To enable patching of the via enclosures to meet the minimum length rule and allow additional stacking of the via ladder, use the -allow_patching true option. Uses staggering only when it is defined for the via ladder rule Via ladder staggering extends the row metal of a via ladder level in the preferred direction of the upper layer for the level to avoid obstructions above or near the pin, which can increase the success rate of via ladder insertion. In many cases, the via ladder rule specifies the maximum number of stagger tracks. To allow staggering if the maximum number of stagger tracks is not defined for the via ladder rule, use the -auto_stagger true option. Does not report on the insertion status To report the via ladder insertion status for each target pin, use the -verbose true option. To output detailed information about insertion failures, use the -user_debug true option. The detailed information reports the following types of violations: Internal DRC violations These are DRC violations internal to a via ladder. These violations are never allowed. Hard DRC violations These are DRC violations between a via ladder and a fixed shape, such as a pin, preroute, or obstruction. These violations are never allowed. Soft DRC violations These are DRC violations between a via ladder and a detail routing shape, which can be rerouted. These violations are allowed if one or more of the following options are true -allow_drcs -ignore_rippable_shapes, or -ignore_routing_shape_drcs After inserting the via ladders, the command reports statistics on the inserted ladders and any DRC violations caused by the insertion. See Also Defining Via Ladder Constraints Verifying Via Ladders Updating Via Ladders Querying Via Ladders Removing Via Ladders"
How do I Verifying Via Ladders,,"To prevent via ladders from being edited, set the design.enable_via_ladder_protection application option to true fc_shell> set_app_options -name design.enable_via_ladder_protection \ -value true When the design.enable_via_ladder_protection application option is true, the following commands process only objects that do not belong to via ladders: remove_shapes remove_vias remove_objects set_attribute set_via_def add_to_edit_group If an object belongs to a via ladder, these commands issue a warning message and do not process the object. The following example sets the design.enable_via_ladder_protection application option to true and attempts to remove a collection of shapes: fc_shell> set_app_options -name design.enable_via_ladder_protection \ -value true... fc_shell> sizeof_collection [get_shapes -of net1] 77 fc_shell> remove_shapes [get_shapes -of net1] -verbose Warning: Cannot PATH_32_7403 because it is part of via_ladder. (NDM-160) 76"
How do I Updating Via Ladders,,"To verify that the via ladders in the block match the via ladder constraints and are properly connected to pins, use the verify_via_ladders command. By default, this command checks all via ladders. To restrict the checking to specific nets, use the -nets option. Note: If you use the -shift_vias_on_transition_layers true option when you insert the via ladders, you must also use this option when you verify the via ladders; otherwise, the command reports false violations. A via ladder matches the via ladder constraints if the pattern of connected vias and wires for the via ladder structure satisfies any of the via ladder templates assigned to the connected pin. The command flags a violation in the following situations: A via ladder is connected to a pin that does not have a via ladder constraint A via ladder is connected to a pin with a via ladder constraint, but none of the templates correctly describe the current via ladder structure A pin has a via ladder constraint, but does not have a via ladder connected to it A via ladder is properly connected to a pin if all the via enclosures at the base of the via ladder touch the same pin and that pin is logically connected to the same net as the via ladder. The command flags a violation in the following situations: An enclosure of the via ladder base touches a different pin, unless the pins are must- join pins that belong to the same must-join set An enclosure of the via ladder base does not touch any pin An enclosure of the via ladder touches a pin that is not of the same net as the via ladder By default, the verify_via_ladders command reports the via ladder insertion status for each target pin, which can result in a very large report. To limit the number of via ladders reported for each category to 40, use the -report_all_via_ladders false option with the verify_via_ladders command."
How do I Manual Via Ladder Insertion,,"You can use the following methods to update existing via ladders in a design: Use the refresh_via_ladders command Automatic updates during the route_group route_auto, and route_eco commands is enabled by default by setting the route.auto_via_ladder.update_during_route application option to true Both of these methods perform the following tasks: Verifies the existing via ladders based on the current via ladder constraints Removes invalid via ladders Inserts via ladders where needed based on the settings of the route.auto_via_ladder application options By default, the tool Updates all pins with via ladder constraints, whether on signal nets or clock nets By default, during the route_group command, the via ladder updates is restricted to only those nets specified in the route_group command by setting the route.auto_via_ladder.update_on_route_group_nets_only application option to true Does not require the via inserted above the pin layer to be contained within the pin shape To prevent changes to the pin shape boundary, you can require that the via inserted about the pin layer be fully contained within the pin shape boundary, which includes the pin shape and its extensions. To specify this requirement, set the following application options: route.auto_via_ladder.connect_within_metal This application option controls via enclosures for all types of via ladders: performance, electromigration, and pattern-must-join. To prevent changes to the pin shape boundary, set this application option to true route.auto_via_ladder.connect_within_metal_for_via_ladder This application option controls the via enclosures only for performance and electromigration via ladders. By default, the tool uses the global setting specified by the route.auto_via_ladder.connect_within_metal application option. To explicitly specify the behavior for performance and electromigration via ladders, set this application option to true or false Uses staggering only when it is defined for the via ladder rule Via ladder staggering extends the row metal of a via ladder level in the preferred direction of the upper layer for the level to avoid obstructions above or near the pin, which can increase the success rate of via ladder insertion. In many cases, the via ladder rule specifies the maximum number of stagger tracks. To allow staggering if the maximum number of stagger tracks is not defined for the via ladder rule, the route.auto_via_ladder.auto_stagger application option is set to true by default. Reports the via ladder insertion status for each target pin To limit the number of via ladders reported for each category to 40, set the route.auto_via_ladder.report_all_via_ladders application option to false See Also Inserting Via Ladders Verifying Via Ladders Querying Via Ladders Removing Via Ladders"
How do I Querying Via Ladders,,"To manually insert a via ladder, 1. Create the shapes that compose the via ladder by using the create_shape and create_via commands. 2. Create the via ladder by using the create_via_ladder command. At a minimum, you must specify the shapes that compose the via ladder by using the -shapes option. The command creates a via ladder named VIA_LADDER_, where is a unique integer. Use the following options with the create_via_ladder command to specify attributes of the created via ladder: -via_rule This option specifies the via ladder rule associated with the created via ladder. It sets the via_rule_name attribute of the created via ladder. -electromigration This option specifies that the via ladder is an electromigration via ladder. It sets the is_electromigration attribute of the created via ladder to true -high_performance This option specifies that the via ladder is a performance via ladder. It sets the is_high_performance attribute of the created via ladder to true -pattern_must_join This option specifies that the via ladder is a pattern-must-join via ladder. It sets the is_pattern_must_join attribute of the created via ladder to true -pin This option specifies the physical pin connected to the created via ladder. It sets the pin attribute of the created via ladder. See Also Querying Via Ladders Removing Via Ladders"
How do I Removing Via Ladders,,"To query the via ladders in a block, use the get_via_ladders command. To report on the via ladders in a block, use the report_via_ladders command."
How do I Checking Routability,,"To remove via ladders and their associated shapes, use the remove_via_ladders command. You must specify the via ladders to remove. To remove all via ladders from the block, use the asterisk (*) wildcard character, as shown in the following example: fc_shell> remove_via_ladders * To remove via ladders only from specific nets, use the -nets option."
How do I Routing Constraints,,"After placement is completed, you can use the check_routability command to check whether your block is ready for detail routing. By default, this command checks for Blocked standard cell ports A standard cell port is considered blocked if none of its physical pins is accessible. A standard cell pin is considered accessible if the pin contains a via that extends to a neighboring layer, there is a path on the pin layer that is at least as long as the search range distance, or there is a shorter path on the pin layer that ends at a via to a neighboring layer. By default, the search range distance is two times the layer pitch. To change this distance, use the -standard_cell_search_range option to specify a different pitch multiplier, up to a maximum of 10. If you specify a value larger than 10, the command sets the value to 10. By default, the tool does not check whether via connections are fully inside the standard cell pins. To enable this check, use the -connect_standard_cells_within_pins true option. To disable the checking of blocked standard cell ports, use the -check_standard_cell_blocked_ports false option. Blocked top-level or macro cell ports A top-level or macro cell port is considered blocked if none of its physical pins is accessible. A top-level or macro pin is considered accessible if a legal path can be extended from the pin to a certain distance around it. This path can be just on the pin layer or can extend to a neighboring layer by a single via. By default, the distance is 10 times the layer pitch. To change this distance for same-layer paths, use the -blocked_range option to specify a different pitch multiplier, up to a maximum of 40. To change this distance for neighboring-layer paths through a via, use the -blocked_range_via_side option to specify a different pitch multiplier, up to a maximum of 40. If you specify a value larger than 40 for either of these options, the command sets its value to 40. By default, the command checks whether a pin is accessible in either the horizontal or vertical direction. To require that the pin is accessible in the preferred direction for its layer, use the -obey_direction_preference true option. To disable the checking of blocked top-level or macro cell ports, use the -check_non_standard_cell_blocked_ports false option. Out-of-boundary pins This check verifies that all pins are within the block boundary. To disable the checking of out-of-boundary pins, use the -check_out_of_boundary false option. Minimum grid violations This check verifies that all pins, including those within library cells, are on the minimum grid, as defined by the gridResolution attribute in the technology file. To disable the checking of minimum grid violations, use the -check_min_grid false option. Incorrect via definitions This check verifies that Uncolored via arrays do not have more than 20 rows or columns Custom or asymmetric simple via definitions do not have more than 1000 cuts The design does not contain more than 65535 via definitions You cannot disable these checks. Invalid real metal via cut blockages This check verifies that all real metal via cut blockages match a legal cut size, as defined by the cutWidthTbl cutHeightTbl, and minWidth attributes in the technology file. To disable this check, use the -check_via_cut_blockage false option. Minimum width settings This check verifies that the nondefault minimum width and shield width settings are no larger than the maximum width defined in the technology file. You cannot disable these checks. The check_routability command also supports the following optional checks: Blocked power or ground ports To enable this check, use the -check_pg_blocked_ports true option. Redundant power or ground shapes To enable this check, use the -check_redundant_pg_shapes true option. Staggered power and ground vias that block the routing tracks To enable this check, use the -check_routing_track_space true option. Blocked ports on frozen nets To enable this check, use the -check_frozen_net_blocked_ports true option. Blocked unconnected pins To enable this check, use the -check_no_net_pins true option. Real metal blockages that overlap library cell pins To enable this check, use the -check_real_metal_blockage_overlap_pin true option. Invalid real metal via cut blockages in the library cells To enable this check, use the -check_lib_via_cut_blockage true option. Shielding checks These checks detect possible issues with shielding by checking for the following conditions: Signal net shapes with a shape_use attribute of shield_route PG net shapes, which might be a PG strap or rail, but have a shape_use attribute of detail_route Signal, clock, or PG nets that have a shielding nondefault rule but no associated shield shapes, which might be caused by inappropriate shape_use attributes. To enable these checks, use the -check_shield true option. Via ladder checks These checks detect possible issues with via ladder insertion by checking for the following conditions: Library cell pins whose top-layer terminals have multiple pin shapes but do not have pattern_must_join attribute This check applies only to signal and secondary PG pins. Missing performance or electromigration via ladder on a pin that has the is_em_via_ladder_required attribute Via ladder application options that do not have the required settings To enable these checks, use the -via_ladder true option. The check_routability command supports the following additional pin connection controls that apply to all pin access checks: Pin access edges During frame view extraction, the tool annotates the frame views with information about the pin access edges. By default, the check_routability command ignores the pin access edges and allows pin connections at any point. You can restrict pin connections to the defined access edges by setting the -obey_access_edges option to true. You can further restrict pin connections to the access edge mark, which can be a narrow rectangle, a short line, or even a single point, by setting the -access_edge_whole_side option to true. In addition, the command can report unconnected pins that do not have an access edge defined. To enable this check, use the -report_no_access_edge true option. Via rotation By default, pin connections can use rotated vias. To disallow pin connections that use rotated vias, set the -allow_via_rotation option to false By default, this command considers the following routing layer constraints when checking for blocked ports: The global minimum and maximum routing layer constraints set by the -min_routing_layer and -max_routing_layer options of the set_ignored_layers command These constraints can cause blocked ports only if they are defined as hard constraints. By default, these constraints are soft constraints. They are hard constraints only if the route.common.global_min_layer_mode and route.common.global_max_layer_mode application options are set to hard The net-specific minimum and maximum routing layer constraints set by the -min_routing_layer and -max_routing_layer options of the set_routing_rule command These constraints can cause blocked ports only if they are defined as hard constraints. By default, the net-specific minimum layer constraint is a soft constraint and the net- specific maximum layer constraint is a hard constraint. They are hard constraints only if the route.common.net_min_layer_mode and route.common.net_max_layer_mode application options are set to hard The clock minimum and maximum routing layer constraints set by the -min_routing_layer and -max_routing_layer options of the set_clock_routing_rules command These constraints can cause blocked ports only if they are defined as hard constraints. By default, the clock minimum layer constraint is a soft constraint and the clock maximum layer constraint is a hard constraint. They are hard constraints only if the route.common.net_min_layer_mode and route.common.net_max_layer_mode application options are set to hard The freeze layer constraints set by the route.common.freeze_layer_by_layer_name and route.common.freeze_via_to_frozen_layer_by_layer_name application options To ignore the routing layer constraints during the blocked port checks, use the -honor_layer_constraints false option. You can use the error browser to examine the errors detected by the check_routability command. By default, the error data generated by the check_routability command is named check_routability.err; to specify a different name for the error data, use the -error_data option. The error data is saved in the design library when you save the block. For information about using the error browser, see the Fusion Compiler Graphical User Interface User Guide"
How do I Defining Routing Blockages,,Routing constraints provide guidance during routing. Table 29 describes the types of guidance provided by the routing constraints. Table 29 Routing Constraints Guidance Description onWireTrack onGrid physical_status locked Table 29 Routing Constraints (Continued) Guidance Description derive_metal_cut_route_guides
How do I Reserving Space for Top-Level Routing,,"A routing blockage defines a region where routing is not allowed on specific layers. Zroute considers routing blockages to be hard constraints. To define a routing blockage, use the create_routing_blockage command. At a minimum, you must define the boundary of the routing blockage and the affected layers. To create a rectangular routing blockage, use the -boundary option to specify the lower-left and upper-right corners of the rectangle using the following syntax: { { llx lly } { urx ury } } To create a rectilinear routing blockage, use the -boundary option to specify the coordinates of the polygon using the following syntax: { { x1 y1 } { x2 y2 }... } You can also create a rectilinear routing blockage by specifying the polygon as the combined area of a heterogeneous collection of objects with physical geometry, such as poly_rects, geo_masks, shapes, layers, and other physical objects. If you specify a layer, the resulting area includes the area of every shape on the layer. For all other objects, the resulting area includes the area of each object. You can create multiple routing blockages by specifying the boundary polygon as a geo_mask or a collection of physical objects. If the resulting area resolves to multiple, noncontiguous polygons, the command creates multiple routing blockages, one corresponding to each polygon. To specify the affected layers, use the -layers option. Specify the routing layers by using the layer names from the technology file. The layers can be metal, via, or poly layers. By default, the tool creates a routing blockage named RB_ objId in the current block that prevents routing of all nets within the routing blockage boundary. The routing blockage is considered as real metal for RC extraction and DRC checking and the router must meet the minimum spacing requirements between the routing blockage boundary and the net shapes. Use the following options to change the default behavior: -name blockage_name Specifies a name for the routing blockage. -cell cell Creates the routing blockage in a different physical cell. When you use this option, the tool creates the routing blockage in the cell's reference block using the coordinate system of the cell's top-level block. -zero_spacing Disables the minimum spacing rule between the routing blockage boundary and the net shapes (zero minimum spacing). This option also prevents the routing blockage from being treated as real metal during extraction and DRC checking. When you use this option, the net shapes can touch, but not overlap, the routing blockage boundary. Note: When you create a routing blockage to prevent via insertion, you must use the -zero_spacing option; otherwise, frame view extraction does not use the route guide to trim the via region. -net_types list_of_types Applies the routing blockage only to the specified net types. Specify one or more of the following net types: analog_ground analog_power analog_signal clock deep_nwell deep_pwell ground nwell power pwell reset scan signal tie_high, and tie_low. To remove the net type settings and prevent routing of all nets in the routing blockage, use the -net_types unset setting. To prevent signal routing on the M1 layer within the rectangle with its lower-left corner at (0, 0) and its upper-right corner at (100, 100), use the following command: fc_shell> create_routing_blockage \ -boundary { {0.0 0.0} {100.0 100.0} } \ -net_types signal -layers M1 To prevent vias on the V1 layer within the rectangle with its lower-left corner at (0, 0) and its upper-right corner at (100, 100), use the following command: fc_shell> create_routing_blockage \ -boundary { {0.0 0.0} {100.0 100.0} } \ -net_types signal -layers V1 -zero_spacing To prevent PG routing on the M2 layer within the rectangle with its lower-left corner at (0, 0) and its upper-right corner at (100, 100), use the following command: fc_shell> create_routing_blockage \ -boundary { {0.0 0.0} {100.0 100.0} } \ -net_types {power ground} -layers M2"
How do I Querying Routing Blockages,,"To reserve space for top-level routing, create a corridor routing blockage by using the -reserve_for_top_level_routing option when you create the routing blockage. During block-level implementation, a corridor routing blockage acts as a regular blockage to prevent routing in the blockage area. During frame view extraction, the tool removes the corridor routing blockage to allow top-level routing in this area."
How do I Removing Routing Blockages,,"To find routing blockages, use the get_routing_blockages command. For example, to get all the routing blockages in a block, use the following command: fc_shell> get_routing_blockages * To find the routing blockages for specific nets, use the -of_objects option to specify the nets of interest. For example, to find the routing blockages for the n1 net, use the following command: fc_shell> get_routing_blockages -of_objects [get_nets n1] To find the routing blockages in a specific location, use the get_objects_by_location -classes routing_blockage command."
How do I Defining Routing Guides,,"To remove routing blockages from the current block, use the remove_routing_blockages command. To remove specific routing blockages, specify the routing blockages, either as a list or collection, such as that returned by the get_routing_blockages command. To remove all routing corridors, specify the -all option."
How do I Using Routing Guides to Control the Routing Direction,,"Routing guides provide routing directives for specific areas of a block. Some types of routing guides are user-defined; others are derived from the block data. This topic describes how to create user-defined routing guides. Note: User-defined routing guides are honored by Zroute; however, they are not honored by the Advanced Route tool. To define a routing guide, use the create_routing_guide command. When you define a routing guide, you must specify Its rectangular boundary To specify the boundary, use the -boundary option to specify the lower-left and upper- right corners of the rectangle using the following syntax: {{ llx lly } { urx ury }} Information specific to the purpose of the routing guide The following table describes the user-defined routing guides. Table 30 User-Defined Routing Guides Purpose Option -preferred_direction_only -switch_preferred_direction -max_patterns -horizontal_track_utilization -vertical_track_utilization Purpose Option -access_preference -river_routing By default, the tool creates a routing guide named RD# in the current block, where is a unique integer. Use the following options to change the default behavior: To specify a name for the routing guide, use the -name option. To specify the routing layers affected by the routing guide, use the -layers option. Specify the routing layers by using the layer names from the technology file. To create the routing guide in a different physical cell, use the -cell option. When you use this option, the tool creates the routing guide in the cell's reference block using the coordinate system of the cell's top-level block. See Also Deriving Routing Guides Querying Routing Guides Removing Routing Guides"
How do I Using Routing Guides to Limit Edges in the Nonpreferred,,"You can use a routing guide to control the routing direction within the routing guide boundary, either by requiring routes to be in the preferred direction within the routing guide boundary or by switching the preferred direction within the routing guide boundary. To force the router to route all nets in the preferred direction within the routing guide boundary, use the -preferred_direction_only option with the create_routing_guide command. You can use this type of routing guide to prevent wrong-way jog wires on specific layers. By default, this routing guide applies to all layers within the routing guide boundary. To require preferred direction routing only for specific layers, use the -layers option to specify the affected layers. For example, to force the router to use only the preferred direction on the M4 layer within the rectangle with its lower-left corner at (0, 0) and its upper-right corner at (100, 100), use the following command: fc_shell> create_routing_guide -boundary {{0.0 0.0} {100.0 100.0}} \ -layers {M4} -preferred_direction_only To switch the preferred routing direction within the routing guide boundary, use the -switch_preferred_direction option with the create_routing_guide command. You can use this type of routing guide to allow routing over macros, which might reduce congestion for a block that contains much detour routing. By default, this routing guide applies to all layers within the routing guide boundary. To switch the preferred routing direction only for specific layers, use the -layers option to specify the affected layers. For example, to switch the preferred routing direction for the M1 and M2 layers within the rectangle with its lower-left corner at (0, 0) and its upper-right corner at (100, 100), use the following command: fc_shell> create_routing_guide -boundary {{0.0 0.0} {100.0 100.0}} \ -layers {M1 M2} -switch_preferred_direction Note: If a switch-preferred-direction routing guide overlaps with a preferred- direction-only routing guide, the switch-preferred-direction routing guide takes precedence."
How do I Using Routing Guides to Control the Routing Density,,"You can use a routing guide to limit the number of occurrences of a specific routing pattern within the routing guide boundary on specific layers. Zroute tries to route the nets within the routing guide to meet this constraint; however, if the number of edges in the nonpreferred direction exceeds the specified threshold, Zroute reports a violation. To create this type of routing guide, use the -max_patterns option with the create_routing_guide command. Use the following syntax to specify the routing pattern and its threshold for each affected layer: { { layer pattern limit }... } In addition to using the -max_patterns option, you must also use the -layers option when you create this type of routing guide. Specify the same layers in the -layers option as those specified in the -max_patterns option. If you do not specify a pattern threshold for a layer, the routing pattern has no limit for that layer. Currently, the only supported pattern is non_pref_dir_edge, which represents the edges in the nonpreferred direction. For example, to limit the number of edges in the nonpreferred direction to two on M2 and to three on M4, with no limits on other layers, use the following command: fc_shell> create_routing_guide -boundary {{50 50} {200 200}} \ -max_patterns {{M2 non_pref_dir_edge 2} {M4 non_pref_dir_edge 3}} \ -layers {M2 M4}"
